                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6204,                 2.1157,                 1.7526,                 1.4359,                0.31971,                0.46151,                0.38826,                   0.22,                0.32534,                 0.4216,                0.39007,                0.21079,                 1.8135,                 2.3758,                 1.9139,                 1.5894,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.6476,                 2.1457,                 1.7917,                 1.4474,                0.53324,                0.38697,                0.46523,                0.26304,                0.52726,                0.38874,                0.45651,                0.25619,                 1.8432,                 2.4995,                 1.7281,                 1.6455,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.6147,                 2.1311,                  1.727,                 1.4218,                0.48788,                0.36497,                0.38419,                0.19446,                 0.5122,                0.36721,                0.39381,                0.18298,                 1.8712,                 2.4394,                  1.818,                  1.658,              0.0004666,              0.0004666,              0.0004666
                     37,                  1.607,                 2.1247,                 1.7081,                 1.4129,                0.41621,                0.53446,                 0.4481,                0.25437,                0.41889,                0.52997,                0.44279,                 0.2501,                 1.8766,                  2.447,                 1.7848,                 1.6404,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.5931,                 2.0657,                   1.72,                 1.4137,                0.47676,                0.35162,                0.40837,                0.23895,                0.53047,                0.38328,                0.43961,                0.24424,                 1.8177,                 2.3606,                 1.8207,                 1.6122,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.5839,                  2.096,                 1.6682,                 1.4025,                0.32257,                0.47098,                 0.4041,                0.22424,                0.32508,                0.43948,                0.40551,                0.21952,                 1.8602,                 2.4345,                 2.0922,                 1.6288,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.5908,                 2.0572,                 1.6777,                 1.4311,                0.35573,                0.45652,                0.42911,                0.25374,                0.35402,                0.44456,                0.42911,                0.25377,                 1.8119,                 2.5032,                 1.8642,                 1.6235,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.5648,                 2.0895,                 1.6308,                 1.4105,                0.43535,                0.47403,                0.44488,                0.26179,                0.43632,                0.47934,                0.45527,                0.25941,                 1.8817,                 2.4072,                 1.8167,                 1.6536,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.5534,                 2.0477,                 1.6237,                 1.3894,                 0.3487,                0.50374,                0.41975,                0.23285,                0.36733,                0.52241,                0.43285,                0.22971,                 1.8109,                 2.4574,                 1.7752,                 1.6293,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.5617,                 2.0726,                 1.6509,                 1.3863,                0.51245,                0.42654,                0.41038,                0.22036,                0.50028,                0.42503,                0.39801,                 0.2166,                 1.8336,                 2.4775,                 1.8823,                 1.5952,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.5645,                 2.0838,                 1.6128,                 1.3827,                0.33517,                0.42658,                0.39341,                0.22268,                0.35272,                  0.408,                0.40872,                0.22114,                 1.8194,                  2.492,                 1.9239,                 1.6375,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.5364,                 2.0303,                 1.5703,                 1.3728,                0.33136,                0.53483,                0.42987,                0.23735,                0.33022,                0.53281,                0.43533,                0.22896,                 1.8966,                 2.4508,                 1.7133,                 1.6912,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.5595,                 2.0324,                 1.5761,                 1.3911,                0.41972,                 0.4245,                0.42476,                 0.2516,                 0.4232,                0.42851,                0.43217,                0.24963,                 1.8546,                 2.5074,                 1.8373,                 1.6544,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.5514,                  2.025,                  1.568,                 1.3893,                0.42612,                0.41124,                0.43438,                0.23821,                 0.4412,                0.41187,                0.44014,                0.24189,                 1.8534,                 2.4725,                 1.9488,                 1.6441,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.5185,                 1.9903,                 1.5191,                 1.3606,                0.44813,                0.41259,                0.45971,                  0.258,                0.41841,                0.40535,                0.44205,                0.26297,                 1.8457,                 2.4673,                  1.854,                 1.6455,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.5186,                 1.9952,                 1.4893,                 1.3577,                0.50263,                0.41773,                0.45217,                0.26239,                0.50435,                0.41941,                0.44752,                0.25491,                 1.8755,                 2.4405,                 1.8929,                 1.7064,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.4976,                 1.9557,                 1.4994,                 1.3619,                0.48778,                0.49743,                0.47007,                0.28192,                 0.5554,                0.43712,                0.47152,                0.27368,                 1.8203,                 2.4622,                 1.7949,                 1.6291,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.5325,                 1.9558,                 1.5239,                 1.3877,                0.38052,                0.44664,                0.42213,                0.22481,                0.37485,                0.43722,                0.41515,                0.21673,                 1.8511,                 2.5034,                 1.8057,                  1.697,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.4908,                 1.9326,                 1.4533,                 1.3474,                0.38948,                0.43244,                 0.4551,                0.25334,                0.39095,                0.43094,                0.46565,                0.25249,                  1.871,                 2.4142,                 1.7658,                 1.6798,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.5105,                 1.9605,                 1.4695,                 1.3476,                0.44804,                0.38685,                0.44897,                0.22432,                0.46127,                0.39687,                0.45187,                0.22314,                  1.981,                  2.461,                 1.8035,                 1.7249,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.4857,                 1.9297,                 1.4243,                  1.337,                 0.4488,                0.45323,                0.46866,                0.24696,                0.46356,                0.47428,                0.47779,                0.24673,                 1.9059,                 2.5803,                 1.6509,                 1.6984,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.4789,                 1.9518,                 1.3871,                 1.3246,                0.47165,                0.41253,                0.48587,                0.27238,                0.51174,                 0.3984,                0.47857,                  0.274,                 1.9077,                 2.5034,                 1.7203,                  1.698,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.4605,                 1.9213,                 1.4145,                  1.337,                0.35826,                0.50842,                0.43337,                0.25632,                0.61098,                0.39499,                0.45236,                0.24992,                 1.9468,                 2.5311,                 1.9193,                  1.749,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.4682,                 1.8941,                 1.3954,                 1.3393,                0.49713,                0.45837,                0.47782,                 0.2906,                0.52729,                0.44952,                0.48517,                 0.2721,                 1.8397,                 2.5108,                 1.7821,                 1.6562,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.4723,                 1.9229,                 1.3994,                 1.3344,                0.57835,                0.43112,                0.46218,                0.25554,                0.58317,                0.43163,                0.46584,                0.24736,                 1.8711,                 2.5748,                 1.8083,                 1.6924,             0.00031109,             0.00031109,             0.00031109
                     59,                 1.4537,                 1.8633,                 1.3303,                 1.2904,                 0.4692,                0.47349,                0.46777,                0.27431,                0.45923,                0.45713,                0.46688,                0.26247,                 1.9108,                 2.5698,                 1.7713,                   1.73,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.4439,                 1.9062,                 1.3579,                 1.3118,                0.39091,                0.44806,                 0.4384,                0.25771,                0.59446,                0.35357,                0.45232,                 0.2585,                 1.9076,                 2.5768,                 1.7561,                 1.7087,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.4243,                 1.8664,                 1.3328,                 1.3165,                0.50891,                0.41557,                  0.471,                0.25922,                0.49595,                0.40793,                0.46383,                0.25431,                 1.9151,                 2.4672,                 1.7141,                 1.7249,             0.00028988,             0.00028988,             0.00028988
                     62,                 1.4354,                  1.865,                 1.2928,                 1.3011,                0.53424,                0.53513,                0.53788,                0.32285,                0.50774,                0.49177,                0.51759,                0.30547,                 1.8968,                 2.6347,                  1.686,                 1.7445,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.4315,                 1.8486,                 1.3164,                 1.2911,                0.41639,                0.46499,                0.43823,                0.26889,                0.40779,                0.45658,                0.43643,                 0.2489,                 1.9077,                 2.5697,                 1.8191,                 1.7772,             0.00027575,             0.00027575,             0.00027575
                     64,                 1.3923,                 1.7994,                 1.2922,                 1.2968,                0.47531,                0.54972,                0.50351,                0.28005,                0.44148,                0.51588,                0.47815,                0.26766,                 1.8773,                 2.6812,                 1.7464,                 1.6984,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.3921,                 1.8276,                  1.271,                 1.2833,                0.51621,                0.47644,                0.49702,                 0.2867,                0.52964,                0.49229,                0.50871,                0.27314,                 1.9707,                   2.56,                 1.6617,                 1.7888,             0.00026161,             0.00026161,             0.00026161
